name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese_milli,magnesium,potassium,calcium,copper_milli,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
"Béchamel sauce, home-made",,,4.2,10.1,9.9,147,6.0,2.3,0.5,,,4.8,0.7,0.2,0.031,,,2.9999999999999997e-05,0.00022,0.00013000000000000002,,2.9999999999999997e-05,,2.7e-06,1.5e-07,0.0007,2.0000000000000002e-07,0.00027,,,0.012,0.17,0.12,,0.0004,0.3,0.0001,0.099,1.3e-06,9.9e-06,,
"Beef (average excluding offal, chop), raw",,,21.4,0.0,5.7,137,2.5,2.4,0.3,,,0.0,0.1,0.0,0.053,,,7.000000000000001e-05,0.00015,0.0048200000000000005,,0.00031,,5.9e-06,2.8500000000000002e-06,0.0,2.0000000000000002e-07,0.00044,,,0.02,0.33,0.0045,,0.0045,0.045,0.0018,0.18,8.599999999999999e-06,1.6000000000000001e-06,,
"Beef, boiling meat lean, cooked (without addition of fat and salt)",,,31.7,0.0,7.1,190,3.3,2.8,0.6,,,0.0,0.1,0.0,0.098,,,2e-05,0.00015,0.00425,,0.00039,,6.5e-06,1.4e-06,0.0,6e-07,0.00033,,,0.019,0.28,0.005900000000000001,,0.0076,0.048,0.0028,0.2,0.0,5e-06,,
"Beef, boiling meat, lean, raw",,,20.7,0.0,5.5,132,2.5,2.2,0.5,,,0.0,0.1,0.0,0.059,,,4e-05,0.00013000000000000002,0.0050999999999999995,,0.00055,,6e-06,1.4e-06,0.0,5e-07,0.00026000000000000003,,,0.018,0.32,0.0044,,0.004900000000000001,0.057,0.0017,0.18,0.0,3e-06,,
"Beef, boiling meat with fat, cooked (without addition of fat and salt)",,,26.6,0.0,18.9,276,7.9,8.7,1.2,,,0.0,0.1,0.0,0.08,,,2e-05,0.00016,0.0053,,0.00032,,5.9e-06,1.2700000000000001e-06,0.0,5e-07,0.0003,,,0.016,0.23,0.005,,0.0053,0.041,0.0018,0.16,0.0,4.5e-06,,
"Beef, boiling meat, with fat, raw",,,19.5,0.0,16.6,227,7.0,7.6,1.0,,,0.0,0.2,0.0,0.053,,,4e-05,0.00013000000000000002,0.007,,0.00053,,6e-06,1.4e-06,0.0,5e-07,0.00026000000000000003,,,0.018,0.3,0.0040999999999999995,,0.0035,0.06,0.0012,0.16,0.0,3e-06,,
"Beef, breast, cooked (without addition of fat and salt)",,,28.3,0.0,15.6,254,6.7,7.4,0.6,,,0.0,0.1,0.0,0.1,,,5.9999999999999995e-05,0.00023999999999999998,0.00391,,0.00011,,3.2999999999999997e-06,4.6e-06,0.0,0.0,0.00053,,,0.018,0.23,0.0053,,0.008,0.036,0.0036,0.21,0.0,5e-07,,
"Beef, breast, raw",,,18.9,0.0,12.5,188,5.4,5.9,0.5,,,0.0,0.1,0.0,0.06,,,8.999999999999999e-05,0.00017999999999999998,0.0047,,0.00017,,3e-06,4.6e-06,0.0,0.0,0.00043,,,0.018,0.27,0.004,,0.0048,0.048,0.0022,0.19,0.0,3e-07,,
"Beef, chopped, raw",,,22.2,0.0,1.5,102,0.6,0.6,0.3,,,0.0,0.1,0.0,0.056,,,8e-05,0.00013000000000000002,0.005030000000000001,,0.00026000000000000003,,6e-06,1.18e-06,0.0,5e-07,0.00026000000000000003,,,0.02,0.36,0.004200000000000001,,0.0035,0.044,0.0014,0.19,7.599999999999999e-06,3e-06,,
"Beef, entrcôte, steak, pan fried ""medium"" (without addition of fat and salt)",,,30.2,0.0,4.6,162,2.0,2.0,0.3,,,0.0,0.1,0.0,0.063,,,2.9999999999999997e-05,0.00011999999999999999,0.0054800000000000005,,0.00045,,7e-06,1.34e-06,0.0,4.0000000000000003e-07,0.00068,,,0.023,0.29,0.006,,0.0047,0.049,0.0017,0.21,1.2e-05,4.1e-06,,
"Beef, entrecôte, steak, raw",,,23.2,0.0,4.5,133,2.0,1.9,0.3,,,0.0,0.1,0.0,0.046,,,5e-05,0.0001,0.005,,0.00073,,6e-06,1.4e-06,0.0,5e-07,0.0009,,,0.02,0.36,0.004900000000000001,,0.0034,0.042,0.0013,0.18,9e-06,3e-06,,
"Beef, eye of round, raw",,,22.4,0.0,1.8,106,0.7,0.7,0.3,,,0.0,0.1,0.0,0.052,,,2e-05,0.00011999999999999999,0.0045,,0.00063,,6e-06,1.4e-06,0.0,5e-07,0.0009,,,0.02,0.38,0.0050999999999999995,,0.0028,0.039,0.001,0.19,8e-06,3e-06,,
"Beef, Filet, fried in oven ""medium"" (without addition of fat and salt)",,,27.7,0.0,4.0,147,1.8,1.5,0.3,,,0.0,0.1,0.0,0.047,,,8e-05,0.00015,0.00491,,0.00013000000000000002,,1.13e-05,2e-06,0.0,0.0,0.00017999999999999998,,,0.025,0.33,0.0036,,0.005900000000000001,0.048,0.0029,0.19,1.2e-05,1.0000000000000001e-07,,
"Beef, filet, raw",,,21.9,0.0,4.0,123,1.8,1.5,0.3,,,0.0,0.1,0.0,0.035,,,0.0001,0.00013000000000000002,0.0046,,0.00019,,1e-05,2e-06,0.0,0.0,0.00023999999999999998,,,0.022,0.34,0.003,,0.0044,0.042,0.0023,0.16,9e-06,1.0000000000000001e-07,,
"Beef, liver, raw",,,20.5,5.3,4.3,142,1.1,0.3,1.2,,,0.0,0.3,0.0,0.354,,,0.00028000000000000003,0.0028799999999999997,0.0147,,0.00083,,0.00022,6.5e-05,0.023,1.7e-06,0.00075,,,0.017,0.29,0.007,,0.0048,0.12,0.007,0.36,3.9e-05,1.3e-05,,
"Beef, minced, lean, raw",,,21.6,0.0,7.5,154,3.2,3.4,0.5,,,0.0,0.2,0.0,0.056,,,5.9999999999999995e-05,0.00011999999999999999,0.0038599999999999997,,0.00045,,1e-05,1.4099999999999998e-06,0.0,5e-07,0.00026000000000000003,,,0.017,0.31,0.005,,0.0044,0.061,0.002,0.16,0.0,3e-06,,
"Beef, minced, pan fried (without addition of fat and salt)",,,32.6,0.0,8.9,211,3.8,4.0,0.6,,,0.0,0.2,0.0,0.089,,,5e-05,0.00016,0.004900000000000001,,0.00032,,1.35e-05,1.57e-06,0.0,4.0000000000000003e-07,0.00023,,,0.023,0.29,0.0070999999999999995,,0.007,0.082,0.003,0.22,0.0,4.8e-06,,
"Beef, minced, raw",,,19.2,0.0,14.6,208,6.2,6.8,0.8,,,0.0,0.1,0.0,0.057,,,5.9999999999999995e-05,0.00015,0.005849999999999999,,0.00035,,4.5e-06,3e-06,0.0,2.0000000000000002e-07,0.00034,,,0.018,0.29,0.0040999999999999995,,0.004200000000000001,0.054,0.0017,0.18,0.0,1.7e-06,,
"Beef, prime rib, raw",,,21.1,0.0,9.0,165,4.0,3.3,0.7,,,0.0,0.1,0.0,0.058,,,4e-05,0.00013000000000000002,0.005,,0.00041,,6e-06,1.4e-06,0.0,5e-07,0.00026000000000000003,,,0.018,0.33,0.0044,,0.005,0.045,0.0015,0.17,1.1e-05,3e-06,,
"Beef, ragout (goulash), raw",,,19.3,0.0,8.1,150,4.0,3.3,0.3,,,0.0,0.1,0.0,0.06,,,8.999999999999999e-05,0.00019,0.0052,,0.00017999999999999998,,3e-06,4.8e-06,0.0,0.0,0.00046,,,0.018,0.3,0.0068,,0.0057,0.045,0.0021000000000000003,0.16,6.5999999999999995e-06,2.0000000000000002e-07,,
"Beef, ragout, raw",,,21.2,0.0,1.3,97,0.6,0.5,0.2,,,0.0,0.1,0.0,0.054,,,1e-05,0.00011999999999999999,0.0045,,0.00041999999999999996,,6e-06,1.4e-06,0.0,5e-07,0.00026000000000000003,,,0.018,0.35,0.0039,,0.0037,0.049,0.0012,0.18,6e-06,3e-06,,
"Beef ragout with sauce, prepared",,,11.6,3.0,2.8,85,0.4,1.9,0.4,,,1.2,0.8,0.6,0.031,,,1e-05,5.9999999999999995e-05,0.00159,,0.00011999999999999999,,8.5e-06,4.8e-07,0.0007,2.0000000000000002e-07,0.00061,,,0.0087,0.14,0.0088,,0.0022,0.3,0.0008,0.091,0.0,2.3e-06,,
"Beef, round, schnitzel, raw",,,22.6,0.0,2.3,111,1.1,0.9,0.1,,,0.0,0.1,0.0,0.055,,,8.999999999999999e-05,0.00017,0.0045,,0.0,,9.9e-06,2.2e-06,0.0,0.0,0.0,,,0.023,0.36,0.0038,,0.0039,0.05,0.0022,0.2,6.1e-06,3e-06,,
"Beef, shoulder, medium roast in oven (without addition of fat and salt)",,,28.5,0.0,3.6,146,1.3,1.5,0.3,,,0.0,0.1,0.0,0.085,,,7.000000000000001e-05,0.00023,0.00567,,0.00014000000000000001,,3.5e-06,5.21e-06,0.0,0.0,0.00023999999999999998,,,0.022,0.3,0.005,,0.0081,0.059,0.0024,0.26,1.4e-05,1.0000000000000001e-07,,
"Beef, shoulder, rare roast in oven (without addition of fat and salt)",,,26.3,0.0,3.3,135,1.2,1.4,0.3,,,0.0,0.1,0.0,0.078,,,7.000000000000001e-05,0.00020999999999999998,0.00523,,0.00013000000000000002,,3.2999999999999997e-06,4.81e-06,0.0,0.0,0.00022,,,0.021,0.28,0.0046,,0.0074,0.054,0.0022,0.24,1.3e-05,1.0000000000000001e-07,,
"Beef, shoulder (roast), raw",,,21.6,0.0,3.5,117,1.2,1.4,0.3,,,0.0,0.1,0.0,0.061,,,8.999999999999999e-05,0.00019,0.0050999999999999995,,0.00019,,3e-06,5e-06,0.0,0.0,0.00031,,,0.019,0.3,0.004,,0.0058,0.05,0.0018,0.21,1e-05,1.0000000000000001e-07,,
"Beef, shoulder, well done roast in oven (without addition of fat and salt)",,,33.1,0.0,4.2,170,1.5,1.7,0.3,,,0.0,0.2,0.0,0.098,,,8e-05,0.00027,0.00658,,0.00016,,4.1e-06,6.05e-06,0.0,0.0,0.00028000000000000003,,,0.026,0.35,0.0058,,0.0094,0.069,0.0028,0.3,1.6e-05,2.0000000000000002e-07,,
"Beef tartare, prepared",,,16.1,3.2,5.2,125,1.6,2.7,0.4,,,2.2,1.2,0.6,0.025,,,8e-05,0.00011999999999999999,0.0035,,0.00016,,1.01e-05,1.4299999999999999e-06,0.0017,0.0,0.00095,,,0.023,0.32,0.013,,0.0032,0.5,0.0022,0.12,0.0,6e-07,,
"Beef, tongue, raw",,,16.0,3.7,13.0,196,4.7,6.0,1.1,,,0.0,0.2,0.0,0.108,,,0.00013000000000000002,0.00029,0.0046,,0.00013000000000000002,,7e-06,5e-06,0.003,0.0,0.00026000000000000003,,,0.018,0.26,0.01,,0.0029,0.08,0.003,0.16,1.2e-05,2.3e-06,,
