name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
"Ananas, roh",,,0.5,11.7,0.1,52,0,0,0,,,10.5,0.0,1.2,0,,,0.07,0.02,0.2,0.13,0.07,,9.4,0,56.5,0,0.02,,,11,120,14,,0.1,1,0.2,6,0.3,1.4,,
Ananassaft,,,0.4,12.1,0.1,51,0,0,0.1,,,12.1,0.0,0.2,0,,,0.05,0.02,0.2,0.1,0.1,,2,0,12.1,0,0.02,,,14,130,16,,0.1,5,0.2,4,0.1,0,,
"Apfel, gedünstet, abgetropft (ohne Zugabe von Zucker)",,,0.3,12.2,0.3,56,0.1,0,0.2,,,12.1,0.0,1.5,0,,,0.01,0.01,0.09,0.09,0.04,,4,0,3.8,0,0.12,,,6.8,94,6.7,,0.1,1.2,0.1,15,0.9,1.1,,
"Apfel, geschält, getrocknet",,,1.4,55.4,1.6,264,0.7,0.1,0.9,,,50,0.0,11.2,0,,,0.04,0.03,0.48,0.28,0.12,,14,0,1.8,0,1.57,,,23,620,30,,0.2,10,1.2,50,0.5,4.1,,
"Apfelkuchen, hausgemacht, gebacken (mit Blätterteig)",,,2.7,19.7,7.5,160,3.3,2.9,0.9,,,10.4,0.3,1.4,20,,,0.03,0.04,0.11,0.22,0.04,,5.3,0.08,4.3,0.2,0.78,,,8.3,120,19,,0.2,120,0.2,38,2.2,3.8,,
"Apfelkuchen, hausgemacht, gebacken (mit Kuchenteig)",,,2.9,20.5,7.3,162,3.3,2.7,0.9,,,10.4,0.2,1.5,20,,,0.04,0.05,0.11,0.24,0.05,,5.8,0.08,4.3,0.2,0.74,,,11,130,20,,0.3,99,0.4,48,2.2,3.8,,
"Apfelmus, gezuckert (Konserve)",,,0.3,20.5,0.3,89,0.1,0,0.1,,,20.4,0.0,1.9,0,,,0.02,0.02,0.08,0.08,0.04,,5.9,0,2.3,0,0.34,,,3.6,97,4.4,,0.1,3.6,0.2,8.1,k.A.,0.7,,
"Apfelmus, ungezuckert (Konserve)",,,0.3,11.7,0.3,55,0.1,0,0.1,,,11.6,0.0,2.1,0,,,0.02,0.02,0.09,0.09,0.05,,6.5,0,2.5,0,0.43,,,4,110,4.8,,0.1,4,0.2,9,k.A.,0.8,,
"Apfel, roh",,,0.3,11.6,0.3,52,0.1,0,0.2,,,11.5,0.0,1.4,0,,,0.01,0.01,0.08,0.08,0.04,,6,0,7.2,0,0.09,,,6.5,120,5.3,,0.1,1.5,0.1,14,0.7,0.8,,
Apfelsaft,,,0.2,11.4,0.1,48,0,0,0,,,10.9,0.0,0.2,0,,,0.01,0.01,0.04,0.05,0.04,,6.8,0,7.1,0,0,,,4.6,110,4.3,,0.1,13,0.3,6.6,0.1,1,,
"Apfelwein, 4 vol%",,,0.0,2.5,0,32,0,0,0,,,2.5,0.0,0,0,,,Sp.,Sp.,Sp.,0.04,0.01,,Sp.,0,Sp.,0,Sp.,,,4,120,9,,0.2,4,0.8,5,k.A.,10,,
"Apfelwein, 6.2 vol%",,,0.0,7.3,0,64,0,0,0,,,7.3,0.0,0,0,,,0,0,0.01,0.03,0.01,,1,0.1,Sp.,0,Sp.,,,4,97,5,,0.2,2,0.3,9,k.A.,10,,
"Appenzeller, viertelfett",,,33.1,0,11.4,235,6.8,2.7,0.5,,,0,2.0,0,34,,,0.04,0.5,0.1,0.54,0.07,,15,1.3,Sp.,0.3,0.36,,,36,120,1090,,2.5,810,0.2,730,k.A.,35,,
"Appenzeller, vollfett",,,24.3,0,31.7,384,19,7.4,1.5,,,0,1.6,0,95,,,0.04,0.36,0.1,0.33,0.07,,15,1.06,Sp.,0.5,0.95,,,29,82,740,,4,620,0.3,540,k.A.,8.4,,
"Aprikose, gedünstet, abgetropft (ohne Zugabe von Zucker)",,,1.0,9,0.2,45,0,0.1,0,,,6.7,0.0,1.7,0,,,0.02,0.02,0.38,0.18,0.05,,3.5,0,1.8,0,0.82,,,8.4,200,18,,0.1,Sp.,0.2,22,0.9,0.6,,
"Aprikose, getrocknet",,,2.9,59.1,0.5,239,0.2,0.1,0.2,,,34.3,0.0,8.3,0,,,0.01,0.04,2.69,0.58,0.15,,8.9,0,0.2,0,4,,,50,1370,82,,0.4,11,1.4,110,2.2,2.7,,
"Aprikose in Sirup, Konserve, abgetropft",,,0.9,13.7,0.1,62,0,0.1,0,,,13.3,0.0,1.4,0,,,0.02,Sp.,0.11,0.12,0.02,,6.9,0,2.2,0,0.45,,,4.9,140,18,,0.1,9.7,0.1,11,0.2,0.5,,
"Aprikose mit Süssungsmittel, Konserve, abgetropft",,,0.9,8.2,0.1,40,0,0.1,0,,,6.1,0.0,1.4,0,,,0.02,0.02,0.34,0.16,0.05,,3.2,0,1.6,0,0.74,,,7.6,180,16,,0.1,0,0.2,20,0.8,0.6,,
"Aprikosenkuchen, hausgemacht, gebacken (mit Blätterteig)",,,3.1,17.8,7.4,154,3.3,2.9,0.8,,,6.9,0.3,1.7,20,,,0.04,0.05,0.3,0.3,0.05,,5.8,0.08,2.2,0.2,1.2,,,9.7,220,26,,0.2,120,0.3,44,2.2,3.5,,
"Aprikosenkuchen, hausgemacht, gebacken (mit Kuchenteig)",,,3.3,18.6,7.2,156,3.2,2.8,0.8,,,6.9,0.2,1.7,20,,,0.04,0.05,0.3,0.31,0.07,,5.6,0.08,2.2,0.2,1.15,,,13,220,27,,0.3,97,0.5,53,2.2,3.6,,
"Aprikose, roh",,,0.8,9,0.1,44,0,0.1,0,,,6.7,0.0,1.7,0,,,0.02,0.02,0.38,0.18,0.06,,5.6,0,3.6,0,0.65,,,8.4,260,15,,0.1,Sp.,0.2,22,0.7,0.5,,
"Artischocken, Herz, abgetropft (Konserve)",,,1.8,2.3,0.5,27,0,0,0,,,1.2,0.8,3.2,0,,,0.02,0.03,0.39,0.13,0.03,,54.3,0,12.2,0.3,1.12,,,18,150,25,,0.3,310,0.4,34,k.A.,20,,
"Aubergine, gedämpft (ohne Zugabe von Salz)",,,1.1,2.4,0.1,21,0,0,0.1,,,2.4,0.0,2.7,0,,,0.03,0.03,0.62,0.23,0.07,,15.8,0,1.5,0,0.18,,,14,210,12,,0.1,2.3,0.3,21,4,0.1,,
"Aubergine, gedünstet (ohne Zugabe von Fett und Salz)",,,1.3,2.8,0.2,24,0,0,0.1,,,2.8,0.0,3.2,0,,,0.04,0.04,0.72,0.26,0.08,,18.4,0,1.7,0,0.21,,,15,230,15,,0.2,2.7,0.3,25,4.6,0.1,,
"Auberginen-Piccata, zubereitet",,,5.6,8.9,8.3,138,2.3,4.2,1,,,2.3,0.2,2.7,67,,,0.05,0.09,0.56,0.57,0.08,,18.8,0.32,1.1,0.5,0.66,,,17,230,73,,0.6,96,0.6,93,k.A.,9,,
"Auberginenscheiben, paniert, zubereitet",,,4.7,14.6,5.8,136,0.7,3.6,0.9,,,2.7,0.2,3.1,47,,,0.06,0.07,0.63,0.51,0.08,,19.4,0.17,1.1,0.4,0.62,,,17,230,23,,0.4,62,0.6,60,k.A.,5.7,,
"Aubergine, roh",,,1.1,2.4,0.1,21,0,0,0.1,,,2.4,0.0,2.7,0,,,0.04,0.03,0.72,0.25,0.08,,24.5,0,1.9,0,0.17,,,14,240,12,,0.1,2.5,0.3,21,3.9,0.1,,
Aufschnitt (Durchschnitt),,,13.8,0.7,24,274,9.1,11.2,2.2,,,0.7,2.0,0,58,,,0.28,0.13,2.91,0.42,0.15,,1.8,0.91,26.6,0.5,0.21,,,12,120,8.1,,1.5,790,0.8,150,k.A.,0.9,,
"Avocado, roh",,,1.6,1.2,15.1,158,2.8,7.7,1.7,,,1.1,0.0,5.5,0,,,0.05,0.11,1.22,0.94,0.14,,57.9,0,3.7,0,1.94,,,29,430,15,,0.5,2.4,0.5,45,0,0,,
"Bäckerhefe, gepresst",,,16.7,1.1,1.2,96,0.2,0.4,0.6,,,0,0.1,6.9,0,,,0.83,1.39,9.75,2.29,0.63,,642,0,0,0,0.1,,,41,570,16,,2.4,22,2.9,370,1,0.6,,
Balsamicoessig,,,0.7,25.8,0.6,128,0,0,0,,,19.1,0.1,0.5,0,,,0.02,0.01,0.1,0.07,1.71,,5.5,0,0.5,0.3,0,,,12,160,18,,0.1,27,1,24,20,20,,
"Bami Goreng, zubereitet",,,13.5,13.1,2.4,130,0.3,1.3,0.5,,,1.3,1.0,0.9,44,,,0.11,0.08,3.57,0.32,0.14,,5,0.05,11.6,0.3,0.41,,,18,200,9,,0.6,400,0.7,120,22,1.5,,
"Banane, gedörrt",,,3.9,80.7,1.8,370,0.7,0.2,0.3,,,65.3,0.0,7.6,0,,,0.18,0.24,2.8,Sp.,Sp.,,Sp.,0,7,0,Sp.,,,110,1490,22,,Sp.,3,1.2,74,k.A.,Sp.,,
"Banane, getrocknet",,,3.0,60.2,1,273,0.4,0.1,0.2,,,43.7,0.0,5.5,0,,,0.1,0.18,2,0.54,0.81,,33.3,0,4,0,0.6,,,90,1150,20,,0.6,8,1.3,75,k.A.,8.1,,
"Banane, roh",,,1.1,19.7,0.2,90,0.1,0,0.1,,,15.6,0.0,2.7,0,,,0.05,0.03,0.6,0.23,0.25,,25.6,0,11.9,0,Sp.,,,28,320,5.1,,0.1,Sp.,0.2,29,0.5,3,,
Barbecue Grillsauce,,,0.6,30.3,0.6,131,0.1,0.2,0.2,,,27.5,1.8,1.2,0,,,0.02,0.01,0.53,0.1,0.04,,9.3,0,0.5,0.3,1.17,,,12,220,46,,0.1,710,0.9,15,k.A.,2.1,,
"Basilikum, roh",,,3.1,5.1,0.8,46,0.1,0,0.4,,,5,0.0,3.1,0,,,0.08,0.31,1.1,0.2,0.18,,50,0,26,0,1,,,11,300,250,,0.7,9,5.5,37,k.A.,0.9,,
Basler Leckerli,,,7.5,75,7.9,412,0.7,4.8,1.9,,,52,0.0,2.8,0,,,0.06,0.15,0.44,0.18,0.11,,11.4,0,1.1,0,3.82,,,40,180,51,,0.7,2.7,1,98,1.1,0.4,,
Bauernbrot,,,9.2,44.3,2,242,0.7,0.3,0.6,,,2.4,1.8,4.8,4,,,0.2,0.13,1.09,0.4,0.11,,25,0.03,0.2,0,0.33,,,38,200,46,,1.4,710,1.5,170,3.4,1.3,,
Bauernschüblig,,,21.3,0.3,48.5,524,18.8,23,4.4,,,0.3,4.0,0,86,,,0.53,0.24,5.96,0.56,0.33,,2.6,3.29,71,0,0.69,,,23,350,4.8,,2.9,1590,1.5,270,k.A.,1.1,,
Baumnuss,,,15.7,6.9,67.3,709,6.5,14.1,43.6,,,3,0.0,6.7,0,,,0.42,0.05,0.4,1.39,0.19,,112.1,0,0.8,0,2,,,140,420,78,,2.7,0.2,2.6,360,1.2,5,,
Baumnussbrot,,,9.2,30.2,17.9,331,3.9,3.8,8.9,,,1.6,1.2,6.4,23,,,0.23,0.1,0.75,0.67,0.18,,43.4,0.05,0.1,0.2,0.8,,,67,240,31,,1.9,490,2.1,210,3,3.7,,
Baumnussöl,,,0.0,0,100,900,10,16.8,69.6,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,2.05,,,0,0,0,,0,0,0,0,0,0,,
"Béchamelsauce, hausgemacht",,,4.2,10.1,9.9,147,6,2.3,0.5,,,4.8,0.7,0.2,31,,,0.03,0.22,0.13,0.33,0.03,,2.7,0.15,0.7,0.2,0.27,,,12,170,120,,0.4,300,0.1,99,1.3,9.9,,
"Beeren (Durchschnitt), gekocht (ohne Zugabe von Zucker)",,,0.9,5.9,0.5,38,0.1,0.1,0.3,,,5.5,0.0,3.1,0,,,0.01,0.03,0.3,0.17,0.03,,15.3,0,19.9,0,0.7,,,11,95,20,,0.1,0.9,0.3,21,0.4,1.5,,
"Beeren (Durchschnitt), roh",,,0.9,7,0.5,43,0.1,0.1,0.3,,,6.6,0.0,3.7,0,,,0.02,0.03,0.35,0.2,0.04,,29.1,0,47.3,0,0.67,,,13,150,20,,0.1,1.4,0.3,25,0.4,1.4,,
Berliner,,,8.4,45.8,12.8,336,6.8,4,0.9,,,17.1,0.6,2.2,104,,,0.05,0.1,0.48,0.38,0.1,,14,Sp.,0.2,1,0.78,,,16,110,38,,0.9,250,1.3,100,k.A.,4.1,,
Berner Alpkäse,,,27.1,0,38.3,453,23,9,1.8,,,k.A.,1.6,0,k.A.,,,k.A.,k.A.,k.A.,k.A.,k.A.,,k.A.,k.A.,k.A.,k.A.,k.A.,,,k.A.,k.A.,920,,k.A.,660,k.A.,k.A.,k.A.,k.A.,,
Berner Hobelkäse,,,30.0,0,41.2,491,24.7,9.7,1.9,,,k.A.,1.7,0,k.A.,,,k.A.,0.56,k.A.,0.43,k.A.,,k.A.,0.83,k.A.,0.8,k.A.,,,k.A.,k.A.,k.A.,,k.A.,690,k.A.,k.A.,k.A.,k.A.,,
Berner Zungenwurst,,,17.3,0,29.4,333,10.8,13.7,3,,,0,1.5,0,63,,,0.53,0.2,4.95,0.54,0.31,,2.3,2.61,0,0,0.52,,,20,220,3.4,,2.4,610,1.3,100,k.A.,0.7,,
Biber,,,7.8,65.4,5.6,355,0.7,3.1,1.4,,,36.9,0.1,3.2,22,,,0.08,0.12,0.39,0.24,0.11,,12.6,0.06,0.5,0.1,2.44,,,32,150,56,,0.8,57,1.4,140,3.4,2.5,,
"Bier, alkoholfrei",,,0.4,4.9,0,23,0,0,0,,,2.6,0.0,0,0,,,0.01,0.01,0.65,0.08,0.04,,5,0.02,0,0,0,,,6.2,34,4.8,,0,1.5,0,11,k.A.,1,,
"Bierhefe, getrocknet",,,47.9,26.5,4.2,354,0.6,1.3,2.1,,,3.2,0.2,9.5,0,,,12,3.8,45,7.2,4.4,,3200,k.A.,0,0,0.1,,,230,1410,50,,8,77,18,1900,k.A.,4,,
"Bier, Lager",,,0.5,3.1,0,42,0,0,0,,,2.2,0.0,0,0,,,0,0.03,0.77,0.03,0.06,,6.3,0.02,0,0,0,,,9.6,55,3.5,,0,1.9,0,19,k.A.,1.5,,
Bier Panache (Durchschnitt),,,0.2,7.4,0,39,0,0,0,,,7.1,0.0,0,0,,,0,0.02,0.27,0.01,0.02,,2.1,0.01,0,0,0,,,11,24,4.5,,0,2.6,0.1,7,k.A.,1.7,,
Bierwurst,,,15.6,0,25.4,291,9.4,11.8,2.6,,,0,1.4,0,63,,,0.23,0.16,2.65,0.29,0.13,,1.6,1.52,0,0,0.43,,,13,120,2.9,,2.1,570,1.2,79,k.A.,0.7,,
"Birchermüesli, zubereitet (ungezuckert)",,,2.6,11.1,3.1,86,1.1,1.1,0.6,,,8.2,0.0,1.5,5,,,0.04,0.09,0.19,0.22,0.05,,8,0.09,4.7,0,0.41,,,19,160,58,,0.4,19,0.3,78,k.A.,5.8,,
"Birne, gedünstet, abgetropft (ohne Zugabe von Zucker)",,,0.6,11.3,0.4,57,0.1,0.1,0.2,,,9.4,0.0,3,0,,,0.01,0.01,0.2,0.1,0.02,,7.5,0,2.3,0,0.16,,,8.6,100,8,,0.1,1.4,0.1,16,0.4,0.5,,
"Birne, getrocknet",,,2.3,59.7,1.4,288,0.2,0.3,0.6,,,49.6,0.0,13.5,0,,,0.06,0.08,0.65,0.16,0.03,,39,0,2.1,0,0.06,,,34,390,48,,0.5,10,0.8,53,2,4,,
"Birne in Sirup, Konserve, abgetropft",,,0.4,15.2,0.4,71,0.1,0.1,0.2,,,14.4,0.0,2.6,0,,,Sp.,Sp.,Sp.,0.04,0.01,,Sp.,0,0.9,0,0.12,,,4,69,8.8,,0.1,Sp.,Sp.,7.9,0.1,0.5,,
"Birne mit Süssungsmittel, Konserve, abgetropft",,,0.5,9.9,0.3,50,0.1,0.1,0.1,,,8.2,0.0,2.6,0,,,0.01,0.01,0.17,0.08,0.02,,6.5,0,2,0,0.14,,,7.5,90,7,,0.1,1.2,0.1,14,0.3,0.5,,
Birnendicksaft,,,3.1,81,1.7,351,0.6,0.1,0.8,,,79.8,0.0,0,0,,,0.2,0.22,1.29,0.36,0.09,,63,0,20.2,0,3.14,,,49,710,70,,0.8,14,1.1,77,k.A.,5.6,,
"Birnenkuchen, hausgemacht, gebacken (mit Blätterteig)",,,2.8,19.2,7.5,161,3.3,2.9,0.9,,,8.6,0.3,2.5,20,,,0.03,0.05,0.18,0.24,0.03,,8.4,0.08,2.7,0.2,0.81,,,9.6,130,20,,0.2,120,0.2,39,1.8,3.5,,
"Birnenkuchen, hausgemacht, gebacken (mit Kuchenteig)",,,3.1,20,7.3,163,3.3,2.8,0.9,,,8.6,0.2,2.6,20,,,0.04,0.05,0.18,0.24,0.04,,8.2,0.08,2.7,0.2,0.76,,,13,140,21,,0.3,99,0.4,48,1.9,3.5,,
Birnensaft,,,0.4,11.6,0.2,50,0,0.1,0.1,,,9.6,0.0,0,0,,,0.02,0.02,0.18,0.05,0.01,,8.7,0,2.9,0,0.45,,,6.7,100,10,,0.1,1.9,0.2,11,k.A.,0.8,,
Birnenweggen,,,4.9,57.2,10.4,363,5.9,2.5,0.9,,,33.5,0.8,6.9,25,,,0.08,0.06,0.5,0.24,0.09,,15.8,0,0.7,0.2,0.43,,,32,320,64,,0.6,300,1.6,75,k.A.,2.2,,
"Birne, roh",,,0.5,10.9,0.3,54,0.1,0.1,0.1,,,9,0.0,2.9,0,,,0.01,0.01,0.19,0.09,0.03,,11.5,0,4.5,0,0.12,,,8.2,130,6.5,,0.1,1.8,0.1,15,0.3,0.4,,
"Blanc battu mit Früchten, mit Süsstoffen",,,8.0,8.3,0.2,67,0.1,0,0,,,5.2,0.1,0.3,0,,,0.03,0.34,0.28,0.37,0.04,,15.1,0.39,1.5,0,0.06,,,13,180,130,,0.5,48,0.1,140,k.A.,19,,
"Blanc battu, nature, mager",,,7.8,3.9,0,47,0,0,0,,,3.9,0.1,Sp.,1,,,0.04,0.32,0.2,0.35,0.06,,24,0.36,0,0.1,Sp.,,,12,140,130,,0.5,44,0.2,120,k.A.,10,,
"Blätterteig, hausgemacht (Butter), ungebacken",,,5.2,29.4,24.7,364,14.6,5.8,1.4,,,0.3,0.8,1.3,65,,,0.09,0.02,0.13,0.2,0.07,,6.7,0,0,0.4,0.74,,,15,82,11,,0.5,340,0.6,57,1.1,0.7,,
"Blätterteig, hausgemacht (mit pflanzlichem Fett), ungebacken",,,5.2,29.3,23.2,349,7.1,11.1,4.4,,,0.2,0.9,1.3,0,,,0.09,0.02,0.2,0.23,0.07,,7.3,0.01,0,1,3.7,,,15,88,9.6,,0.5,360,0.7,58,1,1.1,,
"Blätterteig (mit pflanzichem Fett), ungebacken",,,5.7,35.1,24.3,385,10.9,9.8,2.6,,,0.1,1.0,1.6,0,,,0.08,0.01,0.16,0.16,0.02,,5,0,0,0,2.42,,,7.4,83,4.6,,0.3,400,0.3,31,1.1,0.5,,
Blätterteigstängel,,,7.1,40.4,32.9,490,15,11.6,4,,,0.3,2.6,1.8,45,,,0.09,0.03,0.22,0.22,0.09,,4.8,0.01,0,0.9,3.05,,,21,120,14,,0.7,1040,0.9,79,1.4,1.5,,
"Blattgemüse (Durchschnitt exkl. Salate), gedämpft (ohne Zugabe von Salz)",,,1.4,2.7,0.3,23,0.1,0,0.1,,,2.4,0.0,2.1,0,,,0.05,0.05,0.21,0.21,0.11,,26.9,0,19.3,0,0.44,,,15,230,38,,0.2,10,0.3,31,0.4,2.3,,
"Blattgemüse (Durchschnitt exkl. Salate), gedünstet (ohne Zugabe von Salz und Fett)",,,1.4,2.8,0.3,24,0.1,0,0.1,,,2.5,0.0,2.2,0,,,0.05,0.04,0.23,0.21,0.11,,28.3,0,19.2,0,0.46,,,14,220,41,,0.2,11,0.4,33,0.4,2.4,,
"Blattgemüse (Durchschnitt exkl. Salate), gekocht (ohne Zugabe von Salz und Fett)",,,1.3,2.6,0.3,22,0.1,0,0.1,,,2.3,0.0,2.1,0,,,0.04,0.03,0.18,0.17,0.09,,22.6,0,14.2,0,0.44,,,9.9,130,38,,0.2,9.2,0.3,30,0.4,2.2,,
"Blattsalat (Durchschnitt), roh ",,,1.3,1.6,0.3,17,0,0,0.1,,,1.5,0.0,1.3,0,,,0.05,0.07,0.31,0.18,0.06,,49.4,0,10.4,0,0.23,,,13,230,35,,0.2,15,0.5,27,0.2,2.9,,
Blauschimmelkäse (Durchschnitt),,,19.1,0.1,32.6,370,21.8,6.6,1.1,,,0.1,3.4,0,84,,,0.03,0.6,0.53,1.04,0.08,,40.6,0.74,0,0.6,0.33,,,26,130,640,,2.2,1370,0.2,370,k.A.,46,,
"Blumenkohl, gedämpft (ohne Zugabe von Salz)",,,1.8,2.1,0.7,26,0.2,0.1,0.3,,,1.7,0.0,2,0,,,0.03,0.09,0.22,0.67,0.14,,35.4,0,47.5,0,0.09,,,9.3,240,23,,0.3,5.4,0.2,40,1,0.7,,
"Blumenkohl, roh",,,1.8,2.1,0.7,26,0.2,0.1,0.3,,,1.7,0.0,2,0,,,0.04,0.09,0.26,0.75,0.15,,56,0,60.2,0,0.09,,,9.8,270,23,,0.3,6,0.3,40,1,0.7,,
Blutwurst,,,10.2,2.5,10.9,149,4.6,4.6,1,,,2.4,2.0,0.1,32,,,0.05,0.12,0.38,0.39,0.19,,5.1,1.09,0.5,0,0.12,,,13,140,61,,1.6,790,30,64,k.A.,6.9,,
"Bohne (alle Arten), gekocht (ohne Zugabe von Fett und Salz)",,,7.7,14.5,0.6,111,0.1,0,0.3,,,0.4,0.0,8.5,0,,,0.08,0.02,0.83,0.08,0.07,,76.8,0,0.6,0,0.05,,,51,420,45,,1.1,1,2,150,k.A.,0.4,,
"Bohne (alle Arten), getrocknet",,,20.9,40.7,1.5,305,0.3,0.1,0.7,,,1.2,0.0,22.6,0,,,0.34,0.08,3.4,0.39,0.25,,410,0,2.7,0,0.15,,,160,1510,130,,3.2,1.3,6.3,440,k.A.,1.1,,
"Bohne, grün, gedämpft (ohne Zugabe von Salz)",,,2.0,4.4,0.2,34,0.1,0,0.1,,,3.4,0.0,3.2,0,,,0.11,0.09,0.7,0.12,0.08,,35.1,0,8.4,0,0.39,,,24,240,54,,0.4,3.6,0.9,40,1,2.6,,
"Bohne, grün, getrocknet",,,20.2,42.1,2,318,0.4,0.1,1.1,,,22.2,0.1,25.3,0,,,0.45,0.71,4.1,2.19,1.33,,186,0,67.6,0,1,,,230,2510,540,,2.5,21,7.2,400,k.A.,25,,
"Bohne, grün, roh",,,1.9,4.1,0.2,32,0.1,0,0.1,,,3.3,0.0,3,0,,,0.12,0.09,0.8,0.13,0.09,,53.3,0,10.8,0,0.36,,,25,260,52,,0.4,3.9,1,38,1,2.5,,
Bolognaisesauce,,,6.3,8.3,4,96,1.4,2.1,0.4,,,2.6,0.6,0.6,9,,,0.06,0.08,1.29,0.24,0.1,,6,0.3,3.9,0.1,0.44,,,14,240,14,,0.6,220,0.5,47,k.A.,1.5,,
"Bouillon, Fleisch, zubereitet",,,0.3,0.2,0.3,5,0.2,0.1,0,,,0,1.1,Sp.,0,,,Sp.,0.01,0.83,0.14,0.01,,23,1,0,0,0,,,10,54,1,,0,420,0.2,13,k.A.,3,,
"Bouillon, Geflügel, zubereitet",,,0.3,0.3,0.3,5,0.1,0.1,0.1,,,0.1,1.0,Sp.,5,,,Sp.,0.01,1.2,0.18,0.01,,23,0.4,0,0,0,,,11,10,6,,Sp.,400,Sp.,5,k.A.,2.8,,
