name,brand,barcode,proteins,carbohydrates,fats,calories,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
Agar Agar,,,2.4,0.0,0.2,160,n.d.,n.d.,n.d.,,,n.d.,0.3,74.1,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,100,52,660,,1.5,130.0,4.5,34,n.d.,n.d.,,
Agave syrup,,,0.2,73.1,0.0,293,0,n.d.,n.d.,,,n.d.,0.0,0.0,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,n.d.,n.d.,,n.d.,4.0,n.d.,n.d.,n.d.,n.d.,,
"Morel, stewed (without addition of fat and salt)",,,2.8,0.6,0.4,34,0.1,0,0.2,,,0.1,0.0,8.5,0,,0,0.12,0.06,4.88,2.5,0.05,,18.3,0,4.5,3.8,0.22,,,16,370,13,,0.5,2.1,1.2,190,n.d.,12,,
Mortadella,,,16.1,0.8,27.3,314,10.2,12.4,2.8,,,0.8,2.1,0.0,75,,5,0.37,0.12,3.05,0.49,0.2,,3.1,1.08,25.5,0,0.42,,,13,100,3.9,,1.3,840.0,0.9,170,n.d.,1.5,,
"Mostbröckli (smoked and dried beef), raw",,,32.6,0.5,1.9,150,0.9,0.9,0.2,,,0.5,4.7,0.0,69,,2,0.1,0.17,7.1,0.9,0.37,,0,1.4,11.6,0,0,,,33,580,0,,5.9,1860.0,3.3,300,14,0,,
Mozzarella,,,19.5,0.7,19.5,256,11.4,6,0.7,,,0.7,0.4,0.0,46,,205,0.03,0.27,0.4,0.14,0.07,,16,1.4,0,0.3,0.39,,,10,8,340,,2.6,140.0,0.1,350,n.d.,4.8,,
"Muesli mix, crunchy, fortified with vitamin and mineral",,,10.3,63.4,11.9,420,2.9,3.8,4.5,,,17,0.5,9.1,0,,3,0.9,1.2,13.4,5,1.2,,306.3,2.1,66.5,2.5,10,,,130,300,180,,1.8,200.0,4.3,250,n.d.,1.4,,
"Mueslimix, cereal with fruits and nuts, sweetened ",,,11.4,62.2,5.6,365,0.7,2.2,2.1,,,10.6,0.1,10.1,0,,7,0.35,0.1,2.02,0.71,0.17,,48.7,0,1.4,0,1.29,,,94,390,45,,2.3,46.0,3.1,310,n.d.,2.1,,
"Müeslimix, cereal with fruits and nuts, unsweetened",,,11.3,57.4,8.4,372,1.5,3.3,2.8,,,11.6,0.0,10.8,0,,6,0.36,0.12,2.2,0.73,0.23,,52.4,0,4.2,0,2.49,,,110,450,55,,2.3,14.0,3.3,310,n.d.,2.4,,
"Müeslimix, crunchy, sweetened (average) ",,,9.4,58.6,15.9,430,3.9,4.9,6.2,,,18.1,0.4,7.7,0,,3,0.2,0.09,1.05,0.44,0.12,,24.1,0,1.2,0,4.37,,,76,300,36,,1.8,170.0,2.6,250,n.d.,1.4,,
"Mueslimix, crunchy, with chocolate",,,9.0,58.8,17.4,442,5.2,5.4,5.8,,,19.8,0.4,7.2,0,,3,0.19,0.09,0.64,0.38,0.1,,18.8,0,0.2,0,3.67,,,75,310,37,,1.9,150.0,2.7,240,n.d.,1.1,,
"Mueslimix, crunchy, with fruits, sweetened ",,,8.7,59.8,15.0,424,3.5,4.1,6.5,,,18.8,0.5,7.6,0,,3,0.19,0.08,1.12,0.44,0.12,,22.6,0,2.2,0,4.46,,,66,270,31,,1.7,190.0,2.4,220,n.d.,1.5,,
"Mueslimix, crunchy, with nuts and seeds, sweetened ",,,11.3,56.1,16.1,431,3.2,5.8,6,,,15.1,0.3,8.2,0,,2,0.25,0.12,1.32,0.5,0.15,,32.3,0,0.2,0,4.87,,,97,330,46,,2.2,130.0,2.8,300,n.d.,1.5,,
"Mushroom (average), raw",,,3.5,0.6,0.4,29,0.1,0,0.2,,,0.2,0.0,4.9,0,,22,0.14,0.38,7.12,2.19,0.06,,21.1,0,3.7,2.6,0.11,,,13,400,7.6,,0.8,4.2,2.4,99,n.d.,8.7,,
"Mushroom (average), stewed (without addition of fat and salt)",,,3.9,0.7,0.4,34,0.1,0,0.2,,,0.2,0.0,6.0,0,,26,0.14,0.39,6.94,2.19,0.05,,15.5,0,3.3,3.1,0.13,,,13,380,8.9,,0.8,4.4,2.5,110,n.d.,10,,
"Mushroom risotto, prepared",,,4.0,18.5,3.9,128,1.9,1.4,0.3,,,0.5,0.5,1.5,7,,28,0.05,0.14,2.09,0.47,0.02,,7.2,0.08,0.4,0.6,0.3,,,10,55,70,,0.6,210.0,0.2,81,n.d.,3.3,,
"Mushroom sauce, thickened",,,3.9,8.5,8.9,132,5.4,2.1,0.5,,,4,0.6,0.7,28,,89,0.05,0.26,1.21,0.48,0.03,,4.3,0.13,0.8,0.4,0.25,,,11,170,110,,0.5,250.0,0.1,90,n.d.,8.7,,
Mushroom soup,,,1.1,5.5,1.2,38,0.5,0.2,0.5,,,2,0.9,0.5,0,,27,0.03,0.07,0.4,0.1,0.01,,3,0,0,0,0.14,,,5,68,40,,0.3,370.0,0.2,36,n.d.,4.9,,
"Mushroom, canned",,,2.2,0.5,0.3,19,0,0,0.1,,,0,0.9,2.5,0,,2,0.02,0.19,2,2,0.06,,10,0,2,0,0,,,12,120,23,,0.5,340.0,0.8,69,n.d.,18,,
"Mushroom, raw",,,3.7,1.1,0.3,25,0,0,0.1,,,0.3,0.0,1.9,0,,1,0.1,0.31,3.62,1.99,0.1,,21.7,0,2.1,1.9,0,,,11,370,7,,0.5,5.7,1,110,n.d.,18,,
"Mushroom, stewed (without addition of fat and salt)",,,4.2,1.2,0.3,29,0.1,0,0.2,,,0.3,0.0,2.3,0,,1,0.1,0.31,3.53,1.99,0.1,,15.9,0,1.8,2.3,0,,,11,350,8.3,,0.6,6.0,1,120,n.d.,21,,
Mustard,,,7.1,3.8,7.7,124,0.5,4.1,2.7,,,2.6,4.1,5.3,0,,5,0.24,0.04,1.15,0.21,0.02,,18,0,0.5,0,1.34,,,95,200,110,,1.1,1640.0,1.7,210,n.d.,20,,
"Nasi Goreng, prepared",,,10.8,16.1,1.8,125,0.3,1.1,0.3,,,0.6,1.3,0.5,23,,30,0.11,0.06,4.07,0.4,0.18,,4.6,0.07,10.9,0.4,0.37,,,17,170,18,,0.7,510.0,0.3,120,n.d.,1.3,,
"Nectarine, fresh",,,1.0,11.3,0.3,55,0,0.1,0.1,,,8.8,0.0,1.3,0,,30,0.02,0.02,0.64,0.24,0.02,,8,0,4.6,0,0.43,,,9,260,7,,0.1,1.0,0.2,25,0.2,3,,
"Norway lobster, raw",,,19.6,0.8,1.3,93,0.2,0.3,0.4,,,0,0.9,0.0,95,,0,0.13,0.01,5.67,1.5,0.21,,17,0.9,3,0,1.5,,,68,210,29,,4.6,340.0,2,180,n.d.,240,,
Nut roll with yeast dough,,,12.2,54.9,18.7,445,5.7,9.6,1.9,,,12.9,1.2,3.8,61,,82,0.33,0.19,1.51,0.76,0.21,,58.3,0.17,0.5,0.4,3.12,,,42,300,69,,1.2,470.0,1.6,170,n.d.,6.5,,
Nut sticks,,,10.5,47.0,36.6,567,12.5,17.7,3.1,,,22.6,0.1,3.7,140,,182,0.19,0.08,0.46,0.89,0.2,,29.5,0.29,0.5,0.8,5.11,,,55,280,61,,1.5,56.0,1.9,180,5.6,11,,
Nut tart from Engadin,,,7.0,49.9,27.7,481,10.2,6.2,8.7,,,30.9,0.0,2.0,62,,158,0.11,0.05,0.17,0.47,0.06,,23.6,0.11,0.2,0.4,0.89,,,30,150,33,,0.8,15.0,0.8,110,n.d.,4.5,,
"Oat bran, raw",,,18.5,50.8,7.0,371,1.3,2.4,2.8,,,1.5,0.0,15.4,0,,0,0.85,0.22,0.93,1.25,0.36,,52,0,0,0,1.01,,,240,570,58,,3.1,4.0,5.4,730,n.d.,0.8,,
"Oat drink, plain",,,0.5,7.8,1.5,47,0.2,0.5,0.7,,,3.6,0.1,0.2,0,,0,0.03,0.01,0.06,0.15,0.01,,2.3,0,0,0,0.51,,,4.2,30,1,,0,40.0,0,11,0.2,0.4,,
"Oat drink, plain, with calcium and vitamin fortified",,,0.5,7.8,1.5,48,0.2,0.5,0.7,,,3.6,0.1,0.9,0,,0,0.03,0.15,0.06,0.15,0.01,,2.3,0.26,0,0.9,0.51,,,4.2,30,120,,0,40.0,0,29,0.2,8.7,,
Oat flakes,,,13.5,59.5,7.5,381,1,3,3,,,1,0.1,10.5,0,,0,0.42,0.13,0.8,0.69,0.1,,47.2,0,0,0,0.75,,,120,400,53,,3,20.0,3.8,410,n.d.,0.5,,
Olive oil,,,0.0,0.0,90.0,810,10.7,67.7,6.7,,,0,0.0,0.0,0,,13,0,0,0,0,0,,0,0,0,0,25.92,,,0.9,0.9,0,,0,0.9,0.1,1.8,0,0.1,,
"Olive, black",,,1.4,0.8,17.2,176,2.1,10.2,1.5,,,0.8,1.8,6.2,0,,44,0.02,0.01,0.1,0.04,0.03,,5,0,0.5,0,6.95,,,16,19,80,,0.1,710.0,8.5,7.9,n.d.,4.5,,
"Olive, green, in brine, drained",,,1.3,0.0,15.7,154,2.3,11.1,1.5,,,0,3.2,3.6,0,,4,0.02,0.01,0.1,0.04,0.02,,5,0,0.5,0.3,4.39,,,24,31,58,,0.1,1260.0,0.2,6.7,0,2,,
"Olives stuffed with minced meat, deep-fried",,,13.1,32.8,15.1,329,3.2,9.1,1.8,,,2,1.5,3.2,47,,79,0.14,0.09,0.87,0.57,0.12,,22.5,0.39,3.2,0.7,2.04,,,24,180,120,,1.5,600.0,1.1,130,n.d.,8.1,,
"Onion quiche, baked (with cake dough)",,,4.7,14.6,10.1,171,5.4,2.7,0.7,,,3.6,0.9,1.6,41,,85,0.07,0.06,0.31,0.27,0.08,,10.6,0.09,2.8,0.3,0.35,,,12,140,33,,0.5,380.0,0.4,65,n.d.,4.5,,
"Onion quiche, baked (with puff pastry)",,,4.3,12.6,10.9,169,5.9,2.9,0.7,,,3.6,1.0,1.5,44,,93,0.06,0.06,0.3,0.26,0.07,,10.3,0.09,2.8,0.3,0.36,,,11,140,33,,0.5,380.0,0.4,62,n.d.,4.5,,
"Onion, raw",,,1.1,6.3,0.6,39,0.2,0,0.1,,,4.8,0.0,1.9,0,,3,0.04,0.02,0.2,0.16,0.09,,29.6,0,5,0,0.06,,,8.5,140,20,,0.2,7.7,0.2,30,0.6,1.8,,
"Onion, roasted, brown (without addition of fat and salt)",,,2.6,14.9,1.5,92,0.5,0,0.2,,,11.4,0.0,4.5,0,,6,0.09,0.05,0.45,0.34,0.2,,49.3,0,9,0,0.13,,,20,340,48,,0.4,18.0,0.5,72,1.3,4.3,,
"Onion, stewed (without addition of fat and salt)",,,1.2,7.0,0.7,43,0.2,0,0.1,,,5.4,0.0,2.2,0,,3,0.04,0.02,0.2,0.15,0.09,,21.4,0,4.1,0,0.07,,,8.4,130,24,,0.2,7.2,0.2,34,0.6,2.1,,
Orange juice,,,0.6,10.0,0.1,44,0.1,0,0,,,10,0.0,0.3,0,,5,0.08,0.02,0.31,0.25,0.1,,31.2,0,38.5,0,0.2,,,10,170,8.3,,0,5.0,0.1,17,0.5,0.7,,
Orange nectar,,,0.4,10.5,0.0,44,0,0,0,,,10.5,0.0,0.1,0,,7,0.04,0.01,0.14,0.08,0.02,,12,0,12,0,0.1,,,7,110,6,,0.1,1.0,0.1,10,n.d.,2,,
"Orange, fresh",,,0.8,8.0,0.2,45,0,0,0,,,7.6,0.0,2.7,0,,26,0.09,0.03,0.35,0.18,0.05,,18.8,0,50.9,0,0.19,,,15,180,45,,0.2,0.0,0.3,38,0.5,1,,
"Palm oil, palm fat",,,0.0,0.0,89.9,809,43.9,34,8.4,,,0,0.0,0.0,0,,0,0,0,0,0,0,,0,0,0,0,6.66,,,0.9,0.9,0.9,,0,0.9,0,0.9,0,0,,
Pancetta,,,19.5,0.4,43.0,467,14.4,18.9,6.6,,,0,4.6,0.0,80,,0,0.45,0.14,0,0,0.3,,3,0,0,1.4,0.1,,,0,190,13,,1.9,1850.0,0.8,84,n.d.,0,,
Panettone,,,6.4,56.5,10.7,354,5.6,3.2,0.7,,,22.9,0.1,2.8,112,,113,0.13,0.11,0.63,n.d.,0.12,,33,n.d.,0,0.4,0.62,,,n.d.,230,150,,0.6,38.0,3,130,n.d.,n.d.,,
"Pantli, beef and pork sausage",,,21.7,0.9,51.4,553,20.1,24.4,4.4,,,0.9,4.0,0.0,87,,9,0.46,0.25,6.32,0.55,0.28,,2.6,3.73,73.1,0,0.7,,,22,350,5.1,,3.2,1600.0,1.7,180,n.d.,0.8,,
"Papaya, ripe, raw",,,0.5,9.5,0.1,44,0,0,0,,,9.5,0.0,1.8,0,,75,0.03,0.03,0.33,0.16,0.04,,17.8,0,67.8,0,0.28,,,17,220,21,,0.1,14.0,0.2,9,0.9,0.1,,
Paprika (spice),,,14.8,34.9,13.0,358,2.1,1.2,8.4,,,33.2,0.1,20.9,0,,6060,0.65,1.74,15.3,0,0,,0,0,0,0,0,,,190,2340,180,,4.1,34.0,24,350,n.d.,5,,
Parmesan cheese,,,30.5,0.0,31.0,401,20.6,7.2,1,,,0,1.6,0.0,77,,298,0.02,0.29,0.2,0.79,0.1,,20,1.75,0,0.8,0.78,,,44,100,1340,,4,650.0,0.7,800,n.d.,40,,
"Parsley, fresh",,,3.9,7.4,0.5,58,0.1,0,0.2,,,4.8,0.1,4.3,0,,770,0.15,0.3,1.4,0.31,0.2,,132,0,182,0,3.54,,,37,850,210,,0.8,38.0,5.9,110,n.d.,3.4,,
"Parsnip, cooked (without addition of salt)",,,1.2,11.4,0.4,58,0.1,0,0.2,,,2.9,0.0,2.1,0,,3,0.07,0.1,0.69,0.33,0.07,,22.7,0,8.3,0,0.93,,,13,200,42,,0.4,2.2,0.3,68,0.5,3.4,,
"Parsnip, raw",,,1.3,12.1,0.4,62,0.1,0,0.3,,,3.1,0.0,2.1,0,,3,0.1,0.13,0.94,0.52,0.09,,43.2,0,19.7,0,0.88,,,21,430,42,,0.5,3.8,0.4,71,0.6,3.6,,
"Passion fruit, fresh",,,2.1,10.9,3.0,102,0.5,0.5,1.8,,,8.5,0.0,6.8,0,,127,0,0.07,1.47,0.27,0.23,,102.6,0,25.6,0,0.4,,,26,240,8.1,,0.8,5.0,0.6,46,0.2,1.3,,
"Pasta egg-free, cooked in salted water (uniodised)",,,5.9,31.2,0.6,158,0.1,0,0.2,,,0.2,1.0,2.4,0,,0,0.04,0.02,0.84,0.13,0.07,,10.1,0,0,0,0.09,,,22,56,9.8,,0.7,420.0,0.5,73,24,0.5,,
"Pasta egg-free, dry",,,12.6,70.5,1.2,353,0.2,0.1,0.5,,,0.4,0.0,5.1,0,,0,0.09,0.06,2,0.3,0.17,,31,0,0,0,0.2,,,56,200,22,,1.5,5.0,1.5,170,51,0.6,,
"Pasta gratin with ham, prepared",,,10.2,14.4,6.9,163,3.5,1.9,0.6,,,1.4,1.2,1.0,78,,63,0.11,0.15,1.16,0.52,0.09,,8.9,0.38,8.5,0.5,0.36,,,20,140,120,,1.2,480.0,0.6,180,n.d.,12,,
Pasta salad with French dressing,,,5.6,12.6,5.8,128,0.9,2.3,2.1,,,1,0.8,1.3,42,,38,0.11,0.06,1.03,0.37,0.09,,16.5,0.12,11.9,0.3,2.15,,,17,140,17,,0.6,300.0,0.5,83,n.d.,4.2,,
Pasta salat with Italian dressing,,,5.5,12.7,6.1,130,0.9,4,0.6,,,1,0.7,1.3,38,,39,0.11,0.06,1.03,0.35,0.1,,16.2,0.11,12.1,0.3,1.61,,,16,140,16,,0.6,280.0,0.5,81,n.d.,3.9,,
"Pasta with egg, cooked in salted water (uniodised)",,,5.0,25.0,1.1,132,0.2,0.1,0.4,,,1.3,0.9,1.3,32,,21,0.05,0.02,0.64,0.1,0.02,,5.8,0,0,0,0.04,,,13,49,8.3,,0.5,340.0,0.8,55,32,1.4,,
"Pasta with egg, dry",,,13.3,69.9,2.8,365,0.5,0.4,1,,,3.7,0.0,3.4,86,,63,0.17,0.07,1.9,0.3,0.06,,22,0,0,0,0.1,,,42,220,23,,1.3,17.0,3,150,86,3.3,,
"Pasta, fresh, filled with meat, cooked",,,6.9,25.1,4.7,174,1.7,2,0.8,,,1,0.7,2.2,26,,35,0.19,0.05,0.51,0.32,0.05,,13.6,0.57,0.5,0.4,0.28,,,18,95,29,,0.7,300.0,0.8,86,9,8,,
"Pasta, fresh, filled with spinach and ricotta, cooked (without addition of fat and salt)",,,7.1,25.9,4.9,179,1.7,1.7,0.8,,,0.6,0.5,1.5,37,,80,0.04,0.08,0.69,0.35,0.05,,22.3,0.18,2.3,0.3,0.76,,,18,84,51,,1,190.0,0.5,78,n.d.,7.6,,
"Pasta, fresh, filled with spinach and ricotta, raw",,,8.3,31.6,5.7,214,2,1.9,1,,,0.7,1.1,1.7,43,,103,0.06,0.12,0.89,0.46,0.07,,37,0.21,3.7,0.3,0.88,,,24,160,62,,1.2,440.0,0.8,95,n.d.,8.8,,
"Pea, mature seed, split, cooked (wothout addition of fat and salt)",,,9.0,21.2,0.7,137,0.1,0.1,0.3,,,1.1,0.0,5.0,0,,8,0.22,0.07,0.84,0.35,0.03,,42.9,0,1,0,0.05,,,36,340,18,,1.2,2.7,1.6,140,n.d.,0.5,,
"Pea, mature seed, split, dried",,,21.3,51.9,1.7,331,0.3,0.3,0.7,,,2.8,0.0,11.6,0,,20,0.79,0.21,3,1.49,0.12,,200,0,3.9,0,0.13,,,96,1060,39,,3.1,6.6,4.3,360,n.d.,1.3,,
"Peach, in syrup, canned, drained",,,0.7,18.6,0.1,82,0,0,0,,,17.9,0.0,1.6,0,,19,0.01,0.02,0.51,0.15,0.01,,2.3,0,2.5,0,0.98,,,7.4,120,7.2,,0.1,0.8,0.1,17,1.3,3.1,,
"Peach, with sweetener, canned, drained",,,0.8,8.1,0.1,40,0,0,0.1,,,7.3,0.0,1.7,0,,21,0.01,0.03,0.57,0.17,0.02,,2.5,0,2.8,0,1.09,,,8.2,130,7.9,,0.2,0.9,0.2,19,1.5,3.4,,
"Peach, yellow, fresh",,,0.8,8.9,0.1,43,0,0,0,,,8,0.0,1.9,0,,25,0.01,0.03,0.63,0.18,0.02,,4.5,0,6.1,0,0.96,,,9,190,7.3,,0.1,1.3,0.2,21,1.3,3,,
Peanut,,,26.1,14.8,49.1,623,8.4,25.5,12.9,,,5.9,0.0,8.6,0,,0,0.6,0.43,12,2.48,0.02,,101.7,0,0,0,2.88,,,160,710,65,,4,18.0,1.6,380,30,13,,
Peanut butter,,,26.1,12.5,51.8,636,12.8,19.9,16.9,,,6.4,0.9,7.6,0,,0,0.17,0.1,15,1.24,0.58,,53,0,0,0,4.7,,,180,700,37,,3,350.0,2,330,3,0,,
Peanut curls,,,13.2,56.5,24.2,507,4.4,11.7,6.9,,,0,1.9,4.9,0,,26,0.18,0.04,3.26,0.6,0.13,,17,0,0,0,3.5,,,43,170,16,,0.8,770.0,0.9,110,n.d.,5,,
Peanut oil,,,0.0,0.0,90.0,810,15.6,53.2,17.5,,,0,0.0,0.0,0,,0,0,0,0,0,0,,0,0,0,0,12.51,,,0,0,0,,0,0.0,0,0,0,0,,
"Peanut, roasted, salted",,,26.2,15.0,50.0,631,8.6,24.7,12.4,,,4.2,1.3,8.0,0,,0,0.14,0.07,12.4,1.17,0.43,,66.6,0,0.5,0,2.5,,,170,530,47,,2.9,530.0,1.2,240,4.8,5.7,,
Pear juice,,,0.5,12.1,0.3,52,0,0.1,0.1,,,10,0.0,0.0,0,,3,0.03,0.03,0.19,0.05,0.01,,9,0,3,0,0.47,,,7,110,10,,0.1,2.0,0.2,11,n.d.,0.8,,
"Pear pie, home-made, baked (with cake dough)",,,2.8,18.1,6.6,148,3,2.5,0.8,,,7.8,0.2,2.3,18,,10,0.03,0.04,0.17,0.22,0.04,,7.5,0.08,2.4,0.1,0.69,,,11,120,19,,0.3,89.0,0.3,44,1.8,3.2,,
"Pear pie, home-made, baked (with puff pastry)",,,2.6,17.4,6.8,146,3,2.6,0.8,,,7.8,0.3,2.3,18,,10,0.03,0.04,0.16,0.21,0.03,,7.6,0.08,2.4,0.1,0.73,,,8.7,120,18,,0.2,110.0,0.2,35,1.8,3.1,,
"Pear, dried",,,2.3,59.7,1.4,288,0.2,0.3,0.6,,,49.6,0.0,13.5,0,,0,0.06,0.08,0.65,0.16,0.03,,39,0,2.1,0,0.06,,,34,390,48,,0.5,10.0,0.8,53,2,4,,
"Pear, in syrup, canned, drained",,,0.4,15.2,0.4,71,0.1,0.1,0.2,,,14.4,0.0,2.6,0,,0,0,0,0,0.04,0.01,,0,0,0.9,0,0.12,,,4,69,8.8,,0.1,0.0,0,7.9,0.1,0.5,,
"Pear, raw",,,0.5,10.9,0.3,54,0.1,0.1,0.1,,,9,0.0,2.9,0,,2,0.01,0.01,0.19,0.09,0.03,,11.5,0,4.5,0,0.12,,,8.2,130,6.5,,0.1,1.8,0.1,15,0.5,0.4,,
"Pear, stewed, drained (without addition of sugar)",,,0.6,11.3,0.4,57,0.1,0.1,0.2,,,9.4,0.0,3.0,0,,2,0.01,0.01,0.2,0.1,0.02,,7.5,0,2.3,0,0.16,,,8.6,100,8,,0.1,1.4,0.1,16,0.6,0.5,,
"Pear, with sweetener, canned, drained",,,0.5,9.9,0.3,50,0.1,0.1,0.1,,,8.2,0.0,2.6,0,,3,0.01,0.01,0.17,0.08,0.02,,6.5,0,2,0,0.14,,,7.5,90,7,,0.1,1.2,0.1,14,0.6,0.5,,
Pearl barley,,,10.4,71.0,1.4,347,0.3,0.1,0.6,,,2.2,0.0,4.6,0,,0,0.27,0.08,3.1,0.17,0.25,,20,0,0,0,0.08,,,65,270,18,,2.1,5.0,3,210,2.8,1,,
"Pearl onion, pickled",,,0.9,4.9,0.2,28,0,0,0.1,,,3.5,1.1,1.3,0,,2,0.02,0,0.1,0,0.1,,14,0,0,0,0.31,,,0,93,22,,0.1,450.0,0.2,23,n.d.,0,,
Peasant's Schüblig,,,21.3,0.3,48.5,524,18.8,23,4.4,,,0.3,4.0,0.0,86,,8,0.53,0.24,5.96,0.56,0.33,,2.6,3.29,71,0,0.69,,,23,350,4.8,,2.9,1590.0,1.5,270,n.d.,1.1,,
"Peiti Beurre with chocolate, cookie",,,7.7,63.8,21.3,482,12.9,6.5,1.1,,,37.2,0.5,2.1,23,,85,0.1,0.21,0.31,0.23,0.07,,6.3,0,1.3,0.1,0.45,,,39,370,120,,1.2,200.0,1.6,160,n.d.,9.1,,
"Peppermint, fresh",,,3.8,5.3,0.7,49,0.1,0,0.4,,,5.2,0.0,3.0,0,,122,0.12,0.33,1.1,0.19,0.05,,110,0,31,0,5,,,30,260,210,,1.2,15.0,9.5,75,n.d.,4,,
"Pesto sauce, green",,,3.9,6.6,42.5,430,6.5,16.6,17.6,,,3.2,2.7,2.5,18,,152,0.05,0.1,0.59,0.31,0.07,,25.8,0,92.6,0.3,17.9,,,36,200,150,,0.7,1060.0,0.6,94,4,4,,
"Pesto sauce, red",,,5.7,10.8,35.8,398,5,15.1,13.6,,,7.1,2.1,5.0,5,,104,0.13,0.16,2.93,0.63,0.26,,34.3,0.08,20.6,0,17.66,,,58,1050,99,,1,830.0,2,140,n.d.,3.4,,
"Petit Beurre, cookie",,,8.7,70.2,12.4,431,7.1,2.8,1,,,20.6,0.5,2.3,33,,116,0.15,0.03,0.23,0.35,0.12,,11.5,0.01,0,0.2,0.63,,,24,130,11,,0.8,220.0,1.1,90,1.7,1.9,,
"Petit beurre, wholemeal cookie",,,9.6,65.3,12.7,426,7.1,2.8,1.4,,,17.3,0.6,6.0,33,,116,0.26,0.09,0.39,0.67,0.23,,25.9,0.01,0,0.2,0.79,,,68,290,30,,1.8,230.0,2.8,190,3.2,2.5,,
"Pike, raw",,,18.4,0.0,0.9,81,0.2,0.2,0.2,,,0,0.2,0.0,63,,6,0.09,0.06,1.6,0.24,0.15,,6,2,3.8,1.4,0.91,,,28,370,22,,0.7,75.0,0.2,220,28,5.8,,
Pine nuts,,,16.5,13.0,61.9,688,4.3,15.7,25.7,,,4.9,0.0,6.3,0,,0,0.49,0.26,3.33,0.41,0.22,,63.4,0,0.5,0,11.9,,,370,810,20,,5.8,1.9,6.5,690,1,11,,
Pineapple juice,,,0.4,12.1,0.1,51,0,0,0.1,,,12.1,0.0,0.2,0,,10,0.05,0.02,0.2,0.1,0.1,,2,0,12.1,0,0.02,,,14,130,16,,0.1,5.0,0.2,4,0.1,0,,
"Pineapple, fresh",,,0.5,11.7,0.1,52,0,0,0,,,10.5,0.0,1.2,0,,8,0.07,0.02,0.2,0.13,0.07,,9.4,0,56.5,0,0.03,,,11,120,14,,0.1,1.0,0.2,6,0.1,1.4,,
"Pineapple, in pineapple juice, canned, drained",,,0.5,13.6,0.1,60,0,0,0,,,12.8,0.0,1.4,0,,4,0.06,0,0.2,0.07,0.08,,5,0,5,0,0.02,,,12,130,11,,0.1,0.0,0.2,7.8,0.1,0.3,,
"Pineapple, in pineapple juice, canned, not drained",,,0.4,13.6,0.1,59,0,0,0,,,12.6,0.0,0.9,0,,3,0.06,0,0.2,0.06,0.06,,5,0,5,0,0.01,,,12,130,10,,0.1,0.2,0.2,7.1,0.1,0.1,,
"Pineapple, in syrup, canned, drained",,,0.5,15.9,0.1,70,0,0,0,,,15.9,0.0,1.6,0,,3,0.03,0,0.2,0.04,0.05,,5,0,5.2,0,0.02,,,11,95,6.4,,0.1,1.9,0.1,4.8,0.1,0.3,,
"Pineapple, with sweetener, canned, drained",,,0.5,9.4,0.1,42,0,0,0,,,8.4,0.0,1.0,0,,8,0.04,0.01,0.16,0.1,0.05,,4.7,0,22.6,0,0.03,,,8.8,73,13,,0.1,0.6,0.1,4.8,0.1,1.4,,
"Pistachio, dried",,,23.8,17.6,45.4,594,5.6,23.8,13.7,,,7.7,0.0,10.0,0,,35,0.43,0.24,1.1,0.52,0.9,,68.4,0,5.6,0,1.64,,,120,1000,92,,3.3,1.0,2.8,470,6.8,5,,
"Pizza Calzone, baked",,,11.4,26.5,7.7,224,3,3.5,0.6,,,1.4,0.9,1.5,16,,57,0.14,0.11,1.27,0.28,0.1,,11.1,0.29,10.2,0.1,1.42,,,15,210,85,,1.1,360.0,0.5,150,n.d.,2.4,,
"Pizza doug ( with olive oil), raw",,,7.0,41.2,3.6,229,0.5,2.2,0.6,,,0.2,0.7,2.0,0,,0,0.11,0.04,0.4,0.24,0.04,,19.8,0,0,0,1.15,,,9.4,110,5.9,,0.4,290.0,0.4,44,1.4,0.6,,
"Pizza Hawaii, baked",,,9.5,24.2,6.3,195,2.5,2.9,0.5,,,3.5,0.7,1.5,13,,49,0.13,0.1,1.1,0.27,0.09,,10,0.24,9.9,0.1,1.19,,,15,190,73,,0.9,300.0,0.5,130,n.d.,2,,
"Pizza Margherita, baked",,,9.9,29.9,8.4,238,3.3,3.8,0.7,,,1.5,0.7,1.7,12,,64,0.08,0.1,0.66,0.23,0.07,,12.3,0.32,3.2,0.1,1.58,,,14,180,94,,1,290.0,0.5,130,n.d.,2.1,,
